,favorite_count,full_text,hashtags,retweet_count,year,party_id
225616,1,"b""Pleased that #POTUS did the right thing &amp; signed House's bill restoring benefits to families of fallen U.S. soldiers. http://t.co/tjS2FRSmsS""",POTUS,2,2013.0,R
379544,23,b'The path forward is clear: Medicare negotiation is THE number one way to lower the cost of prescription drugs! #LetMedicareNegotiate',LetMedicareNegotiate,5,2019.0,D
422760,14,b'Your employer provided health care could be at risk of important losing protections under #Trumpcare. via @WSJ https://t.co/19GeHFR7wU',Trumpcare,24,2017.0,D
298204,496,b'Small business program will only work if we have heavy participation from banks &amp; other lenders. \n\nMany branches closed due to #COVID\xe3\x83\xbc19 restrictions. \n\nBut we are working with lenders &amp; they are now increasing their existing online capacity to process the small business grants.',COVIDー19,125,2020.0,R
155679,4,"b'Here\xe2\x80\x99s the next deal under consideration for our country: $450B in further #coronavirus relief\xe2\x80\x93\xe2\x80\x93$300B for Paycheck Protection Program, $50B for Economic Injury Disaster Loan program, $25B for testing, $75B for hospitals, with special focus on helping under-banked small businesses'",coronavirus,4,2020.0,R
300258,42,b'Mustang #mustang #utah #utahphotographer #wildlife #wild #wildlifephotography #wildlifeofinstagram #animals #animalsofinstagram #naturephotography #natgeo #canon #canon70d #nature #blackandwhite #horses #horse\xe2\x80\xa6 https://t.co/KGjQYy7KCX',mustang utah utahphotographer wildlife wild wildlifephotography wildlifeofinstagram animals animalsofinstagram naturephotography natgeo canon canon70d nature blackandwhite horses horse,6,2020.0,R
183486,13,b'#IStandWithIsrael against acts of terror http://t.co/QjDTysNgBo',IStandWithIsrael,20,2014.0,R
19879,29,b'Pressed the administration on the future of its trade negotiations and reiterated how the #agriculture industry in South Dakota is bearing the brunt of delayed resolution. https://t.co/BJy0i87RMU',agriculture,8,2018.0,R
38643,1,"b""Tune in to @supertalk997, I'll be talking #shutdown. LISTEN: http://t.co/3eQcs2pNHl""",shutdown,1,2013.0,R
48216,402,b'It was a privledge to attend today\xe2\x80\x99s inaugural events at our State Capitol. I wish Gov @LauraKellyKS and each of the elected official who were sworn in today all the best in their service to our state. #ksleg https://t.co/Wqj35vIdip',ksleg,50,2019.0,D
303092,2,b'Constituent Service Days are in full swing! Go to my website to check out where my staff will be in #MO03 this week https://t.co/6vIm9KgTPg',MO03,2,2016.0,R
112211,41,b'Welcome home! #TeamPerdue is working around the clock to get all Georgians home safely. https://t.co/6s4r2BPWt6',TeamPerdue,14,2020.0,R
416602,6,"b'Today we celebrate our nation\xe2\x80\x99s liberty, history, and freedom. Happy #FlagDay! https://t.co/5XsKm4sV07'",FlagDay,5,2016.0,R
135393,0,"b""RT @PHLCommerce: It's #TakeoutTuesday but as more businesses reopen with care, Acting Commerce Director @sylvie_renee is safely supporting\xe2\x80\xa6""",TakeoutTuesday,6,2020.0,D
386205,150,b'White House and Republicans before: There was no quid pro quo. \n \nWhite House now: There was a quid pro quo. Get over it.\n \n#TruthExposed https://t.co/gs0zaBR9RY',TruthExposed,63,2019.0,D
519071,0,"b'.@EliKula: ""We cannot expect victims of the #genocide to be the first people to reach out for the reconciliation process.""'",genocide,0,2016.0,D
17104,0,b'Looking forward to my day in Fairbanks where we\xe2\x80\x99ll get the chance to talk more about the good news for #Eielson',Eielson,1,2012.0,D
448812,170,"b'This plan recognizes what everyone in America knows firsthand: America\xe2\x80\x99s infrastructure is in disrepair, and its long past time we start building again. #MAGA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 https://t.co/DHPWIkHN5j'",MAGA,65,2018.0,R
324771,8,"b'Info on my #TaxReform plan, including Heritage Foundation review: https://t.co/6esmo2P3Kz @Heritage https://t.co/LzsBxguTL9'",TaxReform,1,2016.0,R
341350,28,b'Wear it so we can spend time with family and friends.\n\nWear it so we can save tourism.\n\n#WearItSC https://t.co/T1g8xAXTq9',WearItSC,7,2020.0,R
37675,1,b'Encouraged that my bill to improve shooting ranges for hunters and outdoorsmen is making progress: http://t.co/dEgcZn3D #SportsmensAct',SportsmensAct,1,2012.0,D
461590,62,"b'Happy #NationalPetDay, to celebrate here are some of the fluffier family members of my staff! https://t.co/5zChxGIaEA'",NationalPetDay,13,2018.0,D
532821,3,b'They tried to trick us into repealing the ACA \xe2\x80\x93 now they\xe2\x80\x99re treating us by trying to remove protections for pre-existing conditions and hiking premiums. #trickortreat \n\nSee the recent statement and report here: https://t.co/xcVIjjCRhh',trickortreat,1,2018.0,D
82047,609,"b'Rep. Jeff Van Drew: Why I left Democratic Party \xe2\x80\x93 and how GOP keeping US strong, prosperous https://t.co/9xf7Ei4ePH #FoxNews'",FoxNews,267,,D
317792,0,"b'ICYMI: ""Budgeting Recovery: How do we deal with COVID debt?""\n\nMy podcast with #KSLinsidesources about my new #DealWithTheDebtToday bill: https://t.co/4qFGDg9RYI'",KSLinsidesources DealWithTheDebtToday,0,2020.0,R
6475,20,b'Happy birthday to the @USArmy. Thank you for your 244 years of steadfast service to our nation &amp; here\xe2\x80\x99s to many more. #ArmyBDay https://t.co/XRnZgmAcYW',ArmyBDay,5,2019.0,R
517177,66,"b""#DREAMers: Today and every day, I stand with you. I'll keep working with my colleagues to #SaveDACA. #DefendDACA https://t.co/mWqG6yDlmz""",DREAMers SaveDACA DefendDACA,17,2017.0,D
482085,12,b'#CARA was signed into law last night. This is great news!  https://t.co/BPq2zKAidZ',CARA,6,2016.0,R
88301,6,"b'Hope you read my op-ed in the @wvgazettemail thanking our community heroes who have shown great strength, courage, resilience and dedication.\n\n#WestVirginiaWorksTogether, supporting, protecting and standing by one another. Neighbor helping neighbor.\nhttps://t.co/O3wSjXCFTC'",WestVirginiaWorksTogether,1,2020.0,R
51462,5,"b'#TeamTitus w/@CityOfLasVegas, @cityofhenderson, businesses &amp; #serviceproviders to hear from @USICHgov on addressing homelessness in SNV https://t.co/vqjtJEWjpg'",TeamTitus serviceproviders,1,2017.0,D
209165,52,"b""Honored to earn 100% from the @LCVoters for my '18 environmental voting record. I\xe2\x80\x99m proud to fight for climate action, clean energy, public lands, and more, here in DE &amp; across our country #LCVScorecard https://t.co/MQtK7yrOvH""",LCVScorecard,11,2019.0,D
198753,14,b'The long pandemic lockdowns have made the opioid epidemic worse. \n\nI\xe2\x80\x99ve got two bipartisan bills that will help. #opioidcrisis https://t.co/xjf7HO7qor',opioidcrisis,4,2020.0,R
169066,7,b'Re-introduced Move America Act w/ @RonWyden today \xe2\x80\x93 will help state &amp; local govts. build &amp; maintain #infrastructure: https://t.co/Cgi7ay43Mv https://t.co/2bpxeLIhQo',infrastructure,6,2017.0,R
115976,38,b'#USMCA is a win for America. Canada and Mexico have already ratified and our vote is long overdue. It is time for #DeedsNotWords @SpeakerPelosi let\xe2\x80\x99s vote! https://t.co/k5bWDVW3ia',USMCA DeedsNotWords,14,2019.0,R
570626,40,b'Congratulations to the new members of Congress sworn in today. #116thCongress',116thCongress,8,2019.0,R
392372,9,b'It was good to see members of the American Legion Department of MS Legislative Delegation. #MS01 https://t.co/QmrAuSW7cq',MS01,1,2017.0,R
495853,17,"b'Proud to support legislation sponsored by\xc2\xa0@SenKevinThomas &amp; @IamTDarling\xc2\xa0to ensure @HempsteadTown\xc2\xa0distributes its #CARESAct\xc2\xa0funding to the villages, fire districts, and school districts within its borders.\n\xc2\xa0\nIt is long overdue to provide relief to our struggling municipalities. https://t.co/htJi8m1Ged'",CARESAct,4,2020.0,D
125041,10,"b'#OpDiversion phase 2: drug dealers in jail, ppl buying offered treatment. #slco #slc #utpol @UPDSL @slcpd @slcmayor https://t.co/fsyeGxIQPj'",OpDiversion slco slc utpol,2,2016.0,D
460257,78,"b'65 years ago today, #BrownvBoard desegregated our public schools\xe2\x80\x94but there is still much work to be done. @HouseDemocrats will not stop until the promise of #BrownvBoard is a reality for every American. #ForThePeople https://t.co/ASQw9y21Df'",BrownvBoard BrownvBoard ForThePeople,27,2019.0,D
200461,2,b'Enjoyed visiting with John and Armand of the #Alabama Humanities Foundation. https://t.co/g9I8pqOKne',Alabama,2,2020.0,R
303307,4,b'Speaking with @chucktodd on @MTPDaily at 4:35pm CT about the #JUSTICEAct--tune in!',JUSTICEAct,2,2020.0,R
215182,8,"b""An entire year after we raised concerns on behalf of residents, I'm deeply concerned that the Elberton Post Office remains handicap inaccessible. Today, I\xe2\x80\x99ve asked the @USPS to prioritize the accessibility of its public facilities in #GA09 and everywhere. https://t.co/eofq6CYToN""",GA09,4,2018.0,R
155450,1,b'ICYMI - #Detroit #foreclosure program to help residents keep homes in @Freep http://t.co/XZ0zWoQx1a',Detroit foreclosure,2,2014.0,D
237316,0,b'@MegRaeB Washington Post gives #Obama claim of doctored emails 3 Pinocchios http://t.co/wocVES3uF9',Obama,0,2013.0,R
164566,4367,b'Today our annual report from the  bi-partisan/bi-cameral Congressional-Executive Commission on China which I co-chair argued for tougher &amp; cohesive action against #China\xe2\x80\x99s government crackdown against religious minorities &amp; other abuses. https://t.co/qEyOsRpVL7',China,3538,2020.0,R
207249,36,b'Heading\xe2\x86\x92the @HouseFloor to give a 1-min speech to remember Kyler Williams #watchlive https://t.co/4txeBrV0bB @sdaleschools @sdalebulldogs',watchlive,17,2016.0,R
394615,56,"b'Grateful for the opportunity to join Amb. @SandhuTaranjitS, @IACCGHouston &amp; Indo-Americans throughout Texas to discuss the unique challenges of #COVID19 and the importance of continuing to strengthen the US-India relationship. https://t.co/wNlZ7OiLDc'",COVID19,17,2020.0,R
386567,2,"b'Met with Ambassador Pisan Manawapat to talk about Thai Summit America in #MI08, and the important partnership between our two nations. https://t.co/Y2DurvYnMi'",MI08,0,2017.0,R
139323,11,b'America deserves a president and vice president who will protect and defend the rights of all Americans rather than peddle bigotry cloaked in religious freedom #PutPatientsFirst',PutPatientsFirst,2,2019.0,D
461224,15,b'I was delighted to talk about the #ABLEAct and my efforts to create more opportunities for the disability community with @Tuesdaywithliz. https://t.co/obYp6bZcL9',ABLEAct,9,2017.0,R
273871,3147,"b'The Trump administration\xe2\x80\x99s proposal to roll back methane emissions rules is a giant wet kiss to Big Oil &amp; other dirty polluters. The #climatecrisis threatens our health, economy, &amp; national security \xe2\x80\x93 &amp; this reckless plan will only make it worse. https://t.co/wJIeo9AoKi'",climatecrisis,864,2019.0,D
58961,0,"b""RT @RepBillFlores: 15 costly proposals from the President's #SOTU speech: http://t.co/EJiYGYR9iJ""",SOTU,4,2015.0,R
296857,27,b'.@BarackObama isn\xe2\x80\x99t POTUS &amp; you got \xe2\x80\x98caught cold\xe2\x80\x99 forcing a foreign gov\xe2\x80\x99t to investigate your political rival for political gain. #FYI #Hypocrite https://t.co/Wu4mncYAE6',FYI Hypocrite,11,2020.0,D
536994,3,"b'#GoodNews If you can, consider helping a charity.\n\xe2\x80\x9cAs the need for charitable gifts grows, the CARES Act ushers in changes affecting retirees, non-itemizers, and heavy givers.\xe2\x80\x9d\nhttps://t.co/U1zvOY6VCO'",GoodNews,1,2020.0,R
419119,2,b'Toured @CCCancerCenter to see first class #cancer treatment provided closer to home in #BolivarMO. http://t.co/JTuFxfZdgL',cancer BolivarMO,3,2015.0,R
190281,2,"b""Applaud SCOTUS for enforcing the subpoena of Backpage's records - backpage must come clean on its participation in #sextrafficking""",sextrafficking,2,2016.0,R
30683,133,b'Grateful @SenatorCollins is a NO on #GrahamCassidy. Now GOP leaders MUST make up for lost time on bipartisan fixes to stabilize healthcare',GrahamCassidy,31,2017.0,D
438394,76,"b""Happy #NationalFarmersDay to NC's farmers! We're incredibly grateful for your hard work to feed &amp; clothe our nation. #ThankaFarmer https://t.co/d0fg8ivz76""",NationalFarmersDay ThankaFarmer,46,2017.0,R
566442,0,b'Neil Gorsuch to #SCOTUS is the beginning of a shift from judicial activism to respect for the intent and integrity of the Constitution.',SCOTUS,2,2017.0,R
520207,1,b'Our battle with COVID-19 shows the importance of providing medical resources to our first responders and health care workers.  \nAn accurate census count helps them get those resources.\n\nFIll it out at https://t.co/oz5RDENWsL.\n#FirstResponders #HealthCareWorkers #NJCensus2020 https://t.co/UIZczXUyXV',FirstResponders HealthCareWorkers NJCensus2020,2,2020.0,D
575316,2,"b""Which is why I'm proud to co-sponsor the Strengthening Career &amp; Technical Education for the 21st Century Act. #CTE @EdWorkforce""",CTE,2,2017.0,R
246137,6,"b'2 years after #IRSscandal, trust in govt still needs severe repair. My op-ed at @RealClearNews explains how/why: http://t.co/bXZvaR1FgJ #IRS'",IRSscandal IRS,13,2015.0,R
125612,0,"b""RT @farmcredit: @CongressmanGT appreciates @CoBank, #FarmCredit's role in helping w rural hospital access. Thx Congressman! We're committed\xe2\x80\xa6""",FarmCredit,1,2017.0,R
346655,7,"b""It's #HurricaneAwarenessWeek for SC! Ensure that your emergency plan is in place as we gear up for this season. https://t.co/7sxI0mIaGs""",HurricaneAwarenessWeek,7,2016.0,R
85668,1,b'Introduced a new bill to help our logging and trucking workforce. Read more about it here - http://t.co/MqbI89TK16 #mepolitics #ME02',mepolitics ME02,1,2015.0,R
454693,4,"b'ICYMI: My office hosted a senior forum to gather resources for seniors on how to age well. Seniors are the backbone of #MN06 and they deserve every opportunity to stay healthy, and connected to their community. Read more via @sctimes \xe2\x86\x93 https://t.co/Qx3Gm2EXBF'",MN06,2,2019.0,R
256133,48,b'At the Capitol now talking about #FBI headquarters w/@ChrisVanHollen @RepAnthonyBrown @CountyExecBaker Disappointing https://t.co/7fBwVjOLCv',FBI,26,2017.0,D
489832,25,b'Jace is a great ambassador for my office and for #Arkansas. https://t.co/m15JEOWA1h',Arkansas,9,2017.0,R
138211,5,"b'Jim Dandy Restaurants are celebrating 55 years of doing business in #IN05 &amp; throughout Indiana. Serving #Hoosiers from far &amp; wide, I am thrilled to see their continued success throughout the years. #IN05\xe2\xac\x87\xef\xb8\x8f\n\nhttps://t.co/ZbVL08RQc8'",IN05 Hoosiers IN05,0,2019.0,R
232048,3,"b"".@EPA's 2017 #RFS proposal forces more #ethanol into market than current infrastructure can handle. Need legislative fix to broken policy.""",RFS ethanol,5,2016.0,R
275244,21,b'The senseless gun violence tearing apart too many lives &amp; communities has to stop. #WearOrange https://t.co/y9RbKkC51O',WearOrange,7,2016.0,D
250885,79,b'Decision of Republicans to ignore @POTUS + American people is disappointing. Judge Garland earned right to hearing + vote. #SCOTUSnominee',SCOTUSnominee,47,2016.0,D
502910,2,"b""Here's how the #POTUSbudget builds on the progress we've made over the last 7 years: https://t.co/Wg9ZZPRjRQ https://t.co/2vLTkIMcfu""",POTUSbudget,0,2016.0,D
208884,90,"b'In Oregon, we treasure our beautiful #PublicLands.\n\nToday I voted for the #GreatAmericanOutdoorsAct which provides needed funding to address the maintenance backlog at our national parks and provides full funding for LWCF to save untouched ecosystems and improve wildlife habitat.'",PublicLands GreatAmericanOutdoorsAct,11,2020.0,D
313133,17,"b""It's #ElectionDay and no matter your political view I encourage you to make your voice heard and #vote! https://t.co/3QT6djTTv4 https://t.co/qVKBVfosYV""",ElectionDay vote,3,2016.0,D
572039,0,b'I hope these friendly #CA47 residents had a great time exploring our nation\xe2\x80\x99s Capital! #RepYourRep @uscapitol http://t.co/YX97ph5Nwr',CA47 RepYourRep,0,2015.0,D
499357,0,b'2013 Hawaii Home and Community Based Services (HCBS)\xc2\xa0Conference http://t.co/nlGoa7nTZ7 #higov',higov,2,2013.0,D
219250,40,"b""I've sent two letters to @realDonaldTrump today asking for a Major Disaster declaration in North Carolina. Proud to be joined by @SenatorBurr, @SenThomTillis, 8 members of Congress, and 25 Mecklenburg County elected officials from both parties. #OneMeck https://t.co/RjjbcZNO5Q""",OneMeck,11,2020.0,D
394469,452,"b'Until the pandemic hit, Americans were enjoying the greatest economy in a generation. Now, workers &amp; businesses are facing unprecedented hardships. Learn more about @HouseGop\xe2\x80\x99s plan to get the American people back to work \xe2\x86\x92 https://t.co/5lAPmAY83W  #CommitmentToAmerica https://t.co/1AfoClTK0L'",CommitmentToAmerica,160,,R
305611,16,b'Happy #NationalPoliceWeek to law enforcement across the Silver State and nation! Thank you for your service and commitment to keeping our communities safe. Here\xe2\x80\x99s a throwback to when I attended the 31st Annual James D. Hoff Peace Officer Memorial Ceremony in Reno. https://t.co/doKoNHs5cQ',NationalPoliceWeek,1,2020.0,D
509216,7,"b'On #NationalGunViolenceAwarenessDay, I honor gun violence victims &amp; recommit to supporting commonsense gun laws that make communities safer.'",NationalGunViolenceAwarenessDay,3,2017.0,D
277009,1,b'#VA incompetence is stealing funds meant for expanding #VeteransChoice and other improvements. http://t.co/QOcSSOEZZ8',VA VeteransChoice,4,2015.0,R
425006,5,"b'Proud to honor John Muir\xe2\x80\x99s legacy, the father of the @NatlParkService, during the #NPS100 https://t.co/6KyT4ORdlo https://t.co/eFFFpONGSM'",NPS100,6,2016.0,D
187683,2,b'Meaningful reform of #NSA data collection was not accomplished today. Protection should not violate the Constiution http://t.co/BlWneisKP2',NSA,10,2014.0,R
585918,0,"b"".@ArturDavis on @aldotcom: Ranking doesn't reflect the challenges faced by Montgomery's black businesses http://t.co/VFVia4V9uS #alpolitics""",alpolitics,0,2015.0,D
465561,140,"b'Along with my @HouseGOP colleagues, I voted to keep the government open, support our troops and fund CHIP.\n\nA government shutdown rests on the shoulders of @SenateDems and @SenSchumer. They made the choice to put party politics over the American people. #SchumerShutdown https://t.co/3Gugqq5b8u'",SchumerShutdown,69,2018.0,R
